	вакансия	зарплата от	зарплата до	Валюта	Локация	Опубликовано	Работодатель	Роль	Опыт	Ссылка на вакансию	средняя
0	Программист-разработчик	100000	100000	RUR	Москва	2024-07-15	HD LED TECH	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103764869	100000.0
1	Тестировщик (ручное тестирование)	150000	200000	RUR	Москва	2024-07-12	Rubbles	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/103794585	175000.0
2	Web-программист	60000	60000	RUR	Краснодар	2024-07-15	Усенко Ярослав Геннадьевич	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103792548	60000.0
3	Java разработчик	100000	100000	RUR	Брянск	2024-07-09	М-Сошал	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103604196	100000.0
4	Java-разработчик	100000	100000	RUR	Брянск	2024-07-13	DigitalBudget	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/98909318	100000.0
5	PHP Разработчик (удаленно)	100000	120000	RUR	Санкт-Петербург	2024-07-05	МирТех	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103359212	110000.0
6	Java разработчик Full Stack/Backend	500000	1000000	KZT	Алматы	2024-07-10	Profit Staff Com (Профит Стафф Ком)	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103659874	750000.0
7	Middle backend разработчик, python (Django, GraphQL)	35000	70000	RUR	Волгоград	2024-07-16	Синергия	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103799015	52500.0
8	Fullstack-разработчик	20000	40000	RUR	Самара	2024-07-16	Бирючкова Марианна Юрьевна	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103647331	30000.0
9	Event-менеджер / организатор мероприятий	100000	160000	RUR	Москва	2024-06-26	Конференции Олега Бунина	Event-менеджер	От 1 года до 3 лет	https://hh.ru/vacancy/102736702	130000.0
10	QA специалист - тестировщик	80000	80000	RUR	Челябинск	2024-07-16	Рэд	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/101860336	80000.0
11	Программист PHP	90000	90000	RUR	Нижний Новгород	2024-07-14	Deutsch Online	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103859414	90000.0
12	Frontend web-разработчик (middle/senior)	2000	2000	USD	Бишкек	2024-06-18	ОсОО Seven Media (Севен Медиа)	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102168839	2000.0
13	Fullstack-разработчик	80000	120000	RUR	Москва	2024-06-19	Кодит	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102296630	100000.0
14	Java-junior разработчик	50000	80000	RUR	Москва	2024-07-14	Эврика Би Пи О	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/97824754	65000.0
15	Java/Kotlin-разработчик	200000	300000	RUR	Москва	2024-07-03	Rubbles	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/99716978	250000.0
16	Junior DevOps Engineer (DataSpace)	125000	125000	RUR	Ростов-на-Дону	2024-06-20	SberTech	Специалист технической поддержки	От 1 года до 3 лет	https://hh.ru/vacancy/102381032	125000.0
17	Разработчик Android приложений	80000	80000	RUR	Ростов-на-Дону	2024-07-02	Лилиани	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103156829	80000.0
18	Backend PHP программист	140000	170000	RUR	Ростов-на-Дону	2024-07-09	Рабочие решения	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103605596	155000.0
19	Full-stack разработчик	20000	90000	KGS	Бишкек	2024-06-18	ОсОО ЮНИОР ЭДУ	Другое	От 1 года до 3 лет	https://hh.ru/vacancy/102170409	55000.0
20	Backend разработчик (SaluteRPA)	190000	230000	RUR	Санкт-Петербург	2024-07-02	Снэп АйТи	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103136862	210000.0
21	Web-разработчик (Инженер-программист)(01050-1)	120000	120000	RUR	Москва	2024-06-25	Моринформсистема-Агат, Концерн	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/91683538	120000.0
22	Разработчик (Frontend developer / Vue.js) junior+	130000	130000	RUR	Тюмень	2024-07-14	Статус	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/88609199	130000.0
23	Java back-end разработчик в ML команду ранжирования (Senior/Middle+)	220000	300000	RUR	Москва	2024-07-16	DIGINETICA	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103992268	260000.0
24	Программист Java (backend)	180000	230000	RUR	Москва	2024-07-04	Кадровое агентство Аспект	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102365651	205000.0
25	Frontend разработчик VUE	120000	150000	RUR	Краснодар	2024-07-15	Центр интеллектуальной безопасности	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102405840	135000.0
26	Программист-разработчик	100000	100000	RUR	Москва	2024-07-15	HD LED TECH	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103764869	100000.0
