	вакансия	зарплата от	зарплата до	Валюта	Локация	Опубликовано	Работодатель	Роль	Опыт	Ссылка на вакансию	средняя
0	Помощник бухгалтера	3000000	4000000	UZS	Ташкент	2024-07-11	THE ONE (Terra Pro)	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103722452	3500000.0
1	Бухгалтер по материальному учету	5000000	9000000	UZS	Ташкент	2024-07-10	Perfect balance	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103651800	7000000.0
2	Бухгалтер	110000	110000	KZT	Астана	2024-06-20	Жуманов Дастан	Бухгалтер	Нет опыта	https://hh.ru/vacancy/102364489	110000.0
3	Помощник бухгалтера	150000	300000	KZT	Астана	2024-07-15	Online Solutions	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103885665	225000.0
4	Бухгалтер, помощник бухгалтера	2000000	12000000	UZS	Ташкент	2024-07-08	Yaran Consulting	Бухгалтер	Нет опыта	https://hh.ru/vacancy/102682418	7000000.0
5	Бухгалтер начинающий	35000	35000	KGS	Бишкек	2024-07-16	ОсОО RestArt	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103043331	35000.0
6	Бухгалтер-кассир	150000	300000	KZT	Петропавловск	2024-07-15	ВИС	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103906326	225000.0
7	Помощник главного бухгалтера	2000000	2000000	UZS	Ташкент	2024-07-12	KIDS WORLD OF GOODS(didit)	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103777096	2000000.0
8	Бухгалтер на первичную документацию	288000	288000	KZT	Астана	2024-07-12	GLOBAL INDUSTRIAL EQUIPMENT	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103789736	288000.0
9	Бухгалтер (проекты аутсорсинга)	80000	120000	RUR	Хабаровск	2024-07-15	Техноавиа-Хабаровск	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103866046	100000.0
10	Бухгалтер-стажер	2500000	3000000	UZS	Ташкент	2024-06-25	ARHAT HOLDING	Бухгалтер	Нет опыта	https://hh.ru/vacancy/102688150	2750000.0
11	Бухгалтер	250000	250000	KZT	Астана	2024-07-10	Лучшие 11	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103625677	250000.0
12	Бухгалтер	240000	300000	KZT	Астана	2024-07-16	Христолюбов	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103972656	270000.0
13	Бухгалтер-стажер	3000000	3000000	UZS	Ташкент	2024-07-02	CAMELWAY BEST CONSTRACTION	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103107444	3000000.0
14	Бухгалтер производитель	250000	350000	KZT	Шымкент	2024-07-10	ШымКай	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103665118	300000.0
15	Помощник бухгалтера на 2 дня в неделю	20000	20000	RUR	Хабаровск	2024-07-15	Кафе панвосточной кухни Хума	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103680191	20000.0
16	Бухгалтер-стажер	30000	50000	RUR	Санкт-Петербург	2024-06-24	PRO-BRO	Бухгалтер	Нет опыта	https://hh.ru/vacancy/102548326	40000.0
17	Бухгалтер на участок	57000	57000	RUR	Ростов-на-Дону	2024-07-16	Мир	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103943209	57000.0
18	Бухгалтер частичная занятость	800	800	BYR	Минск	2024-06-21	СтаутИнжиниринг	Другое	Нет опыта	https://hh.ru/vacancy/102440463	800.0
19	Бухгалтер	1500	1500	BYR	Витебск	2024-07-15	Вядерево	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103876241	1500.0
20	Бухгалтер (ул. Кремлёвская)	50000	60000	RUR	Казань	2024-07-16	УФСИН России по Республике Татарстан	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103976477	55000.0
21	Помощник бухгалтер по расчету заработной платы (без опыта работы)	45000	45000	RUR	Ростов-на-Дону	2024-07-16	Лебединский Торговый Дом	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103984693	45000.0
22	Бухгалтер на первичную документацию	60000	60000	RUR	Белгород	2024-07-12	Хмелевская Ольга Юрьевна	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103801969	60000.0
23	Бухгалтер/помощник бухгалтера	80000	80000	RUR	Москва	2024-07-01	Гуд Айти	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103033957	80000.0
24	Бухгалтер	300000	500000	KZT	Алматы	2024-07-16	KASER INDUSTRIAL GROUP	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103961329	400000.0
25	Помощник бухгалтера (пекарня)	250000	300000	KZT	Алматы	2024-07-11	Баширов А.К.	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103694302	275000.0
26	Стажер Бухгалтер консультант 1С	45900	45900	RUR	Краснодар	2024-07-15	Портал-Юг	Бухгалтер	Нет опыта	https://hh.ru/vacancy/98087090	45900.0
27	Помощник главного бухгалтера	100000	110000	KZT	Астана	2024-07-12	Фартстрой титул	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103758660	105000.0
28	Бухгалтер	200000	300000	KZT	Алматы	2024-07-16	Акулов	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103961573	250000.0
29	Бухгалтер на первичную документацию	40000	50000	RUR	Пенза	2024-07-13	Дизельмастер	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103821692	45000.0
30	Бухгалтер по первичной документации ( Уфа )	50000	50000	RUR	Уфа	2024-07-15	DDX Fitness	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103928101	50000.0
31	Бухгалтер	1000	1000	BYR	Гомель	2024-07-12	Прототип	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103787413	1000.0
32	Бухгалтер	45000	54000	RUR	Екатеринбург	2024-07-15	ГК Фокус-Авто	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103897244	49500.0
33	Главный бухгалтер	150000	200000	RUR	Москва	2024-07-15	Тест-Оружие	Бухгалтер	Нет опыта	https://hh.ru/vacancy/103915274	175000.0
