	вакансия	зарплата от	зарплата до	Валюта	Локация	Опубликовано	Работодатель	Роль	Опыт	Ссылка на вакансию	средняя
0	Разработчик Python	800000	1000000	RUR	Москва	2024-06-22	Маер Эдгар	Другое	От 1 года до 3 лет	https://hh.ru/vacancy/102469377	900000.0
1	Python разработчик (чат-боты)	35000	50000	RUR	Санкт-Петербург	2024-06-25	Береснев Кирилл Евгеньевич	Другое	От 1 года до 3 лет	https://hh.ru/vacancy/102678009	42500.0
2	Junior Python Разработчик	50000	50000	RUR	Москва	2024-07-16	О-комплекс	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103992155	50000.0
3	Python developer jun+	40000	40000	RUR	Москва	2024-07-16	Петрова Анастасия Андреевна	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103968665	40000.0
4	Frontend-разработчик	80000	200000	RUR	Санкт-Петербург	2024-07-15	Атим	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103908864	140000.0
5	Бэкэнд разработчик (Python/Django)	80000	110000	RUR	Москва	2024-07-15	DM	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103920430	95000.0
6	Python Developer (Backend & Qt)	90000	130000	RUR	Москва	2024-07-09	МООМАЙНД	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103602017	110000.0
7	Программист-разработчик	100000	100000	RUR	Москва	2024-07-15	HD LED TECH	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103764869	100000.0
8	Intern Python Developer / Стажер Python-разработчик	150000	150000	RUR	Москва	2024-07-04	РЕВТЕХ	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103317574	150000.0
9	Тестировщик (ручное тестирование)	150000	200000	RUR	Москва	2024-07-12	Rubbles	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/103794585	175000.0
10	Junior Python Developer	100000	100000	RUR	Москва	2024-07-15	MostFinance	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103930739	100000.0
11	Разработчик Telagram-ботов	500	500	USD	Москва	2024-06-24	Платформа Думайбэст	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102578393	500.0
12	Backend-разработчик (Python)	40000	70000	RUR	Оренбург	2024-07-15	Москалев Сергей Юрьевич	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103936271	55000.0
13	Python Engineer	200000	700000	KZT	Алматы	2024-07-15	ioka fintech	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103768469	450000.0
14	Junior Python-разработчик	40000	60000	RUR	Москва	2024-06-19	EasyDev	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102306596	50000.0
15	Программист Python	115000	220000	RUR	Ярославль	2024-07-15	Тензор	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103874722	167500.0
16	Junior Product Analyst	120000	120000	RUR	Москва	2024-07-09	Лэтуаль Диджитал	Продуктовый аналитик	От 1 года до 3 лет	https://hh.ru/vacancy/103140775	120000.0
17	Middle Python Developer	120000	150000	RUR	Москва	2024-07-15	Койфман Дана Владимировна	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103887746	135000.0
18	Middle Python Developer	80000	120000	RUR	Санкт-Петербург	2024-07-11	Buzz	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103726595	100000.0
19	Программист Python (веб и мобильные проекты)	50000	50000	RUR	Волгоград	2024-07-13	Web++	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102942268	50000.0
20	Junior+ Backend Разработчик (Python)	80000	120000	RUR	Москва	2024-07-02	Авангард	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103120243	100000.0
21	Web разработчик	300000	400000	RUR	Москва	2024-07-16	ГК АВТОРУСЬ	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103963427	350000.0
22	Программист Python	30000	40000	RUR	Краснодар	2024-06-19	Кольба Владимир Сергеевич	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102306085	35000.0
23	Python разработчик	150000	250000	RUR	Москва	2024-07-06	Сошал Системс	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103415524	200000.0
24	Python разработчик	100000	100000	RUR	Москва	2024-06-26	Soft Media Group	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102758854	100000.0
