	вакансия	зарплата от	зарплата до	Валюта	Локация	Опубликовано	Работодатель	Роль	Опыт	Ссылка на вакансию	средняя
0	QA Engineer	300000	300000	RUR	Москва	2024-07-17	Selecty	Тестировщик	От 3 до 6 лет	https://hh.ru/vacancy/104055022	300000.0
1	Java-разработчик back-end	180000	180000	RUR	Санкт-Петербург	2024-07-16	Крокодил	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103998544	180000.0
2	Java-разработчик back-end	180000	180000	RUR	Воронеж	2024-07-16	Крокодил	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103998589	180000.0
3	Fullstack PHP-программист (удаленно) от 3 000 $ до 5 000 $	300000	500000	RUR	Москва	2024-07-15	Точка роста	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103919052	400000.0
4	Тестировщик (мобильных и веб приложений)	80000	160000	RUR	Москва	2024-07-14	Быков Я.А.	Тестировщик	От 3 до 6 лет	https://hh.ru/vacancy/103841577	120000.0
5	Тестировщик (мобильных и веб приложений)	80000	160000	RUR	Санкт-Петербург	2024-07-12	Быков Я.А.	Тестировщик	От 3 до 6 лет	https://hh.ru/vacancy/103767056	120000.0
6	Java-Разработчик (Middle)	300000	330000	RUR	Москва	2024-07-10	Бизнес-Азимут	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103669114	315000.0
7	Backend Spring Developer Java в Банк	250000	250000	RUR	Москва	2024-07-16	Сателл ИТ	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103969890	250000.0
8	Java разработчик	35000000	35000000	UZS	Ташкент	2024-07-02	SMART BANK	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103100423	35000000.0
9	Middle разработчик Full-stack (Йога приложение)	300000	300000	RUR	Хабаровск	2024-07-16	Афанасов Анатолий	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/104017612	300000.0
10	Backend-разработчик (Java/Kotlin)	350000	350000	RUR	Санкт-Петербург	2024-06-28	Kinetica	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/102932372	350000.0
11	Frontend-разработчик (Middle. Vue | HTML+CSS)	120000	180000	RUR	Нижний Новгород	2024-07-18	Риверстарт	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/104142513	150000.0
12	Менеджер по продажам (аккаунт/sales-менеджер)	200000	500000	RUR	Москва	2024-06-26	Конференции Олега Бунина	Менеджер по продажам, менеджер по работе с клиентами	От 3 до 6 лет	https://hh.ru/vacancy/102776403	350000.0
13	QA-инженер	170000	170000	RUR	Нижний Новгород	2024-07-01	СБЕР	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/97218138	170000.0
14	Программист Java (Kafka)	150000	210000	RUR	Москва	2024-07-03	Data World	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103225143	180000.0
15	Java-разработчик	3000	3000	USD	Москва	2024-06-27	ТРИАТЕК	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/102835579	3000.0
16	Руководитель группы разработки в ИТ	200000	250000	RUR	Новосибирск	2024-07-19	Инетра	Руководитель группы разработки	От 3 до 6 лет	https://hh.ru/vacancy/103956565	225000.0
17	Senior Java Developer	280000	280000	RUR	Москва	2024-07-09	Ростелеком Контакт-центр	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103600678	280000.0
18	Frontend разработчик ReactJS Senior	260000	360000	RUR	Москва	2024-06-23	Apeek	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/102521069	310000.0
19	Frontend-разработчик (Senior, Middle+) React + Next	150000	200000	RUR	Воронеж	2024-06-26	INTRID web-studio	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/102784326	175000.0
20	Backend developer (Middle)	200000	230000	RUR	Москва	2024-06-26	Снэп АйТи	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/101149206	215000.0
21	Java Spring разработчик (Middle)	160000	230000	RUR	Казань	2024-07-17	Интис	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/104077158	195000.0
22	Senior Backend Developer	250000	250000	RUR	Москва	2024-07-01	getmatch	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103021172	250000.0
23	Java Backend developer	300000	300000	RUR	Москва	2024-07-11	Рукс Солюшенс	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/99520581	300000.0
24	Backend-developer	150000	150000	RUR	Москва	2024-07-18	МСН Телеком	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/104174928	150000.0
25	Back-end - Software Developer – Platform development	2500	3000	USD	Москва	2024-07-17	Amagasa	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/104110210	2750.0
26	Системный аналитик	350000	350000	RUR	Москва	2024-07-01	Demis Group	Системный аналитик	От 3 до 6 лет	https://hh.ru/vacancy/103043223	350000.0
27	Middle Java Developer / middle JAVA программист	150000	200000	RUR	Москва	2024-07-17	Передовые Технологии	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103349695	175000.0
28	Backend-разработчик (Middle Java Developer)	150000	300000	RUR	Екатеринбург	2024-07-17	Русофт	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/104073047	225000.0
29	Java-разработчик	250000	250000	RUR	Москва	2024-07-15	ГКУ Центр занятости населения города Москвы	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103933851	250000.0
30	Backend-разработчик (PHP)	200000	200000	RUR	Екатеринбург	2024-07-12	СДЕЛКАРФ	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/98931363	200000.0
31	QA Engineer	300000	300000	RUR	Москва	2024-07-17	Selecty	Тестировщик	От 3 до 6 лет	https://hh.ru/vacancy/104055022	300000.0
32	Java-разработчик back-end	180000	180000	RUR	Санкт-Петербург	2024-07-16	Крокодил	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103998544	180000.0
33	Java-разработчик back-end	180000	180000	RUR	Воронеж	2024-07-16	Крокодил	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103998589	180000.0
34	Fullstack PHP-программист (удаленно) от 3 000 $ до 5 000 $	300000	500000	RUR	Москва	2024-07-15	Точка роста	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103919052	400000.0
35	Тестировщик (мобильных и веб приложений)	80000	160000	RUR	Москва	2024-07-14	Быков Я.А.	Тестировщик	От 3 до 6 лет	https://hh.ru/vacancy/103841577	120000.0
36	Тестировщик (мобильных и веб приложений)	80000	160000	RUR	Санкт-Петербург	2024-07-12	Быков Я.А.	Тестировщик	От 3 до 6 лет	https://hh.ru/vacancy/103767056	120000.0
37	Java-Разработчик (Middle)	300000	330000	RUR	Москва	2024-07-10	Бизнес-Азимут	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103669114	315000.0
38	Backend Spring Developer Java в Банк	250000	250000	RUR	Москва	2024-07-16	Сателл ИТ	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103969890	250000.0
39	Java разработчик	35000000	35000000	UZS	Ташкент	2024-07-02	SMART BANK	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103100423	35000000.0
40	Middle разработчик Full-stack (Йога приложение)	300000	300000	RUR	Хабаровск	2024-07-16	Афанасов Анатолий	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/104017612	300000.0
