	вакансия	зарплата от	зарплата до	Валюта	Локация	Опубликовано	Работодатель	Роль	Опыт	Ссылка на вакансию	средняя
0	Senior Flutter Engineer	8000	10000	USD	Кипр	2024-07-13	Калина Ирина	Программист, разработчик	Более 6 лет	https://hh.ru/vacancy/103817270	9000.0
1	Программист	150000	250000	RUR	Москва	2024-07-14	Автосалон на Дмитровке	Программист, разработчик	Более 6 лет	https://hh.ru/vacancy/103165074	200000.0
2	Senior Flutter Engineer	8000	10000	USD	Сербия	2024-07-03	Калина Ирина	Программист, разработчик	Более 6 лет	https://hh.ru/vacancy/103204234	9000.0
3	Senior Mobile AQA Engineer	8000	10000	USD	Сербия	2024-07-07	Калина Ирина	Тестировщик	Более 6 лет	https://hh.ru/vacancy/103429385	9000.0
4	Senior Backend Developer (Java)	350000	450000	RUR	Москва	2024-07-08	Гринатом	Программист, разработчик	Более 6 лет	https://hh.ru/vacancy/103489337	400000.0
5	Senior Java (Kotlin) разработчик	350000	350000	RUR	Санкт-Петербург	2024-07-07	Selecty	Программист, разработчик	Более 6 лет	https://hh.ru/vacancy/103435427	350000.0
6	Senior/Lead Frontend Developer	290000	290000	RUR	Санкт-Петербург	2024-07-14	Маркет Плато	Программист, разработчик	Более 6 лет	https://hh.ru/vacancy/102112193	290000.0
7	PHP MySQL-разработчик	60000	120000	RUR	Москва	2024-06-24	Диджитал прожект	Программист, разработчик	Более 6 лет	https://hh.ru/vacancy/102603123	90000.0
8	Senior Java / Kotlin Developer	320000	320000	RUR	Санкт-Петербург	2024-07-08	Солантек	Программист, разработчик	Более 6 лет	https://hh.ru/vacancy/101666256	320000.0
9	Ведущий Frontend-разработчик Angular в команду Ankey IDM	250000	250000	RUR	Санкт-Петербург	2024-07-15	Датаджайл	Программист, разработчик	Более 6 лет	https://hh.ru/vacancy/103162520	250000.0
10	Senior fullstack java developer	200000	300000	RUR	Санкт-Петербург	2024-07-13	Бизнес Технологии	Программист, разработчик	Более 6 лет	https://hh.ru/vacancy/98004539	250000.0
11	Senior Flutter Engineer	8000	10000	USD	Кипр	2024-07-13	Калина Ирина	Программист, разработчик	Более 6 лет	https://hh.ru/vacancy/103817270	9000.0
12	Программист	150000	250000	RUR	Москва	2024-07-14	Автосалон на Дмитровке	Программист, разработчик	Более 6 лет	https://hh.ru/vacancy/103165074	200000.0
13	Senior Flutter Engineer	8000	10000	USD	Сербия	2024-07-03	Калина Ирина	Программист, разработчик	Более 6 лет	https://hh.ru/vacancy/103204234	9000.0
14	Senior Mobile AQA Engineer	8000	10000	USD	Сербия	2024-07-07	Калина Ирина	Тестировщик	Более 6 лет	https://hh.ru/vacancy/103429385	9000.0
15	Senior Backend Developer (Java)	350000	450000	RUR	Москва	2024-07-08	Гринатом	Программист, разработчик	Более 6 лет	https://hh.ru/vacancy/103489337	400000.0
16	Senior Java (Kotlin) разработчик	350000	350000	RUR	Санкт-Петербург	2024-07-07	Selecty	Программист, разработчик	Более 6 лет	https://hh.ru/vacancy/103435427	350000.0
17	Senior/Lead Frontend Developer	290000	290000	RUR	Санкт-Петербург	2024-07-14	Маркет Плато	Программист, разработчик	Более 6 лет	https://hh.ru/vacancy/102112193	290000.0
18	PHP MySQL-разработчик	60000	120000	RUR	Москва	2024-06-24	Диджитал прожект	Программист, разработчик	Более 6 лет	https://hh.ru/vacancy/102603123	90000.0
19	Senior Java / Kotlin Developer	320000	320000	RUR	Санкт-Петербург	2024-07-08	Солантек	Программист, разработчик	Более 6 лет	https://hh.ru/vacancy/101666256	320000.0
20	Ведущий Frontend-разработчик Angular в команду Ankey IDM	250000	250000	RUR	Санкт-Петербург	2024-07-15	Датаджайл	Программист, разработчик	Более 6 лет	https://hh.ru/vacancy/103162520	250000.0
21	Senior fullstack java developer	200000	300000	RUR	Санкт-Петербург	2024-07-13	Бизнес Технологии	Программист, разработчик	Более 6 лет	https://hh.ru/vacancy/98004539	250000.0
