	вакансия	зарплата от	зарплата до	Валюта	Локация	Опубликовано	Работодатель	Роль	Опыт	Ссылка на вакансию	средняя
0	Младший backend-разработчик	45000	120000	RUR	Москва	2024-07-03	SW Development	Программист, разработчик	Нет опыта	https://hh.ru/vacancy/103215751	82500.0
1	Junior Java Spring Developer	70000	100000	RUR	Барнаул	2024-07-15	SMARTIX	Программист, разработчик	Нет опыта	https://hh.ru/vacancy/103868081	85000.0
2	Стажер-программист Java	30000	30000	RUR	Ростов-на-Дону	2024-07-12	Рабочие решения	Программист, разработчик	Нет опыта	https://hh.ru/vacancy/103768970	30000.0
3	Java Back-end разработчик Junior/Middle	250000	250000	KZT	Астана	2024-07-09	Logitex	Программист, разработчик	Нет опыта	https://hh.ru/vacancy/103566399	250000.0
4	Стажер-разработчик Java	19000	30000	RUR	Тюмень	2024-07-08	IQ GROUP	Программист, разработчик	Нет опыта	https://hh.ru/vacancy/103513682	24500.0
5	Backend-разработчик Kotlin/Java (junior)	60000	76000	RUR	Барнаул	2024-07-17	Биллинговый центр	Программист, разработчик	Нет опыта	https://hh.ru/vacancy/42636573	68000.0
6	Ученик Java-разработчик	40000	40000	RUR	Майкоп	2024-07-15	Дунайс	Программист, разработчик	Нет опыта	https://hh.ru/vacancy/87220832	40000.0
7	Junior iOS разработчик	50000	50000	RUR	Москва	2024-07-09	Сервис Руки	Программист, разработчик	Нет опыта	https://hh.ru/vacancy/101736380	50000.0
8	Бэкенд-разработчик	59100	59100	RUR	Саратов	2024-06-27	ГКУ Саратовской области Центр цифрового развития Саратовской области	Программист, разработчик	Нет опыта	https://hh.ru/vacancy/98786417	59100.0
9	Стажер-программист PHP	30000	30000	RUR	Ростов-на-Дону	2024-07-08	Рабочие решения	Программист, разработчик	Нет опыта	https://hh.ru/vacancy/103526606	30000.0
10	Junior+ Frontend Developer (Vue 3)	40000	40000	RUR	Томск	2024-07-02	Аплинк	Программист, разработчик	Нет опыта	https://hh.ru/vacancy/103119572	40000.0
11	Дежурный системный администратор	60000	80000	RUR	Владимир	2024-07-03	ФГБУ Федеральный центр охраны здоровья животных	Системный администратор	Нет опыта	https://hh.ru/vacancy/103231524	70000.0
12	Младший backend-разработчик	45000	120000	RUR	Москва	2024-07-03	SW Development	Программист, разработчик	Нет опыта	https://hh.ru/vacancy/103215751	82500.0
13	Junior Java Spring Developer	70000	100000	RUR	Барнаул	2024-07-15	SMARTIX	Программист, разработчик	Нет опыта	https://hh.ru/vacancy/103868081	85000.0
14	Стажер-программист Java	30000	30000	RUR	Ростов-на-Дону	2024-07-12	Рабочие решения	Программист, разработчик	Нет опыта	https://hh.ru/vacancy/103768970	30000.0
15	Java Back-end разработчик Junior/Middle	250000	250000	KZT	Астана	2024-07-09	Logitex	Программист, разработчик	Нет опыта	https://hh.ru/vacancy/103566399	250000.0
16	Стажер-разработчик Java	19000	30000	RUR	Тюмень	2024-07-08	IQ GROUP	Программист, разработчик	Нет опыта	https://hh.ru/vacancy/103513682	24500.0
17	Backend-разработчик Kotlin/Java (junior)	60000	76000	RUR	Барнаул	2024-07-17	Биллинговый центр	Программист, разработчик	Нет опыта	https://hh.ru/vacancy/42636573	68000.0
18	Ученик Java-разработчик	40000	40000	RUR	Майкоп	2024-07-15	Дунайс	Программист, разработчик	Нет опыта	https://hh.ru/vacancy/87220832	40000.0
19	Junior iOS разработчик	50000	50000	RUR	Москва	2024-07-09	Сервис Руки	Программист, разработчик	Нет опыта	https://hh.ru/vacancy/101736380	50000.0
20	Бэкенд-разработчик	59100	59100	RUR	Саратов	2024-06-27	ГКУ Саратовской области Центр цифрового развития Саратовской области	Программист, разработчик	Нет опыта	https://hh.ru/vacancy/98786417	59100.0
21	Стажер-программист PHP	30000	30000	RUR	Ростов-на-Дону	2024-07-08	Рабочие решения	Программист, разработчик	Нет опыта	https://hh.ru/vacancy/103526606	30000.0
22	Junior+ Frontend Developer (Vue 3)	40000	40000	RUR	Томск	2024-07-02	Аплинк	Программист, разработчик	Нет опыта	https://hh.ru/vacancy/103119572	40000.0
23	Дежурный системный администратор	60000	80000	RUR	Владимир	2024-07-03	ФГБУ Федеральный центр охраны здоровья животных	Системный администратор	Нет опыта	https://hh.ru/vacancy/103231524	70000.0
