,uuid,Название вакансии,Время создания,Дата следующего отчета
0,91b6389e-3b4e-41df-8e5c-e9b876d5335c,Java_backend_разработчик,16-07-2024 14:30:53,16-07-2024 14:30:53
1,b211588b-da55-42d1-8374-8decefd038c4,Java_backend_разработчик,16-07-2024 14:39:15,16-07-2024 14:39:15
2,cf259d29-235c-49d5-b2d4-a4ab3bf5910d,Java_backend_разработчик,16-07-2024 14:40:03,16-07-2024 14:40:03
3,653b2026-b344-4530-b473-706de9422c17,Java_backend_разработчик,16-07-2024 15:09:34,2024-07-25
4,b0b15ead-c2bb-4848-975f-e4bdde84348f,Python_разработчик,16-07-2024 15:10:43,26-07-2024
5,d376e0b7-d309-4515-a90f-8ebd5f3fb5c3,Java_backend_разработчик,17-07-2024 10:36:17,17-07-2024
6,88259218-88e0-46d3-b05b-a41cdd0b7deb,Бухгалтер,17-07-2024 11:33:18,25-07-2024
7,6f559192-69ff-4d1b-a235-a9647c335ab5,Бухгалтер,17-07-2024 11:36:38,27-07-2024
8,0f6a3058-a7e2-449c-a8e7-6df94659709c,Java_backend_разработчик,17-07-2024 11:44:15,17-07-2024
9,050063f9-b283-48d3-b701-2776a3d39b37,Java_backend_разработчик,19-07-2024 15:20:49,18-08-2024
10,cc565aed-fee8-4185-897d-2a5f50de8efe,Java_backend_разработчик,19-07-2024 15:20:52,18-08-2024
11,2d0d2aa1-26ef-40fe-af01-267eada06018,Java_backend_разработчик,19-07-2024 15:21:44,18-08-2024
12,f1be1451-80f5-4c4e-939f-e5a246a796a6,Java_backend_разработчик,19-07-2024 15:21:47,18-08-2024
13,ff33f23e-2929-4b20-99ee-47890f4f6dc8,Java_backend_разработчик,19-07-2024 15:43:35,18-08-2024
14,87680969-df27-49db-b21a-b070baf9a94b,Java_backend_разработчик,19-07-2024 16:01:50,18-08-2024
